Film;Oscar;rok;Id;budget;opening_weekend;gross;czas;rating;komentarze;zewnetrzne_zapowiedzi;oscar_actor;gatunek
Three Smart Girls;0;1936;tt0028373;326000;NA;1635800;84;6,8;20;12;0;Comedy
The Life of Emile Zola;1;1937;tt0029146;NA;NA;NA;116;7,3;44;38;2;Biography
The Awful Truth;0;1937;tt0028597;NA;NA;NA;91;7,9;102;61;0;Comedy
Captains Courageous;0;1937;tt0028691;1645000;NA;NA;117;8;77;35;1;Adventure
Dead End;0;1937;tt0028773;300000;NA;NA;93;7,5;53;35;0;Crime
The Good Earth;0;1937;tt0028944;2800000;NA;NA;138;7,8;56;22;2;Drama
In Old Chicago;0;1937;tt0029047;1800000;NA;NA;95;6,9;39;16;0;Action
Lost Horizon;0;1937;tt0029162;4000000;NA;NA;132;7,8;120;43;0;Adventure
One Hundred Men and a Girl;0;1937;tt0029347;762000;NA;2270200;84;6,9;18;8;0;Comedy
Stage Door;0;1937;tt0029604;952000;NA;NA;92;7,8;73;39;1;Comedy
A Star Is Born;0;1937;tt0029606;1173639;NA;4360000;111;7,7;46;29;1;Drama
You Can't Take It With You;1;1938;tt0030993;1644736;NA;NA;126;8;134;50;1;Comedy
The Adventures of Robin Hood;0;1938;tt0029843;1900000;NA;3981000;102;8;230;100;0;Action
Alexander's Ragtime Band;0;1938;tt0029852;2000000;NA;NA;106;7;29;10;0;Drama
Boys Town;0;1938;tt0029942;NA;NA;NA;96;7,3;42;18;1;Biography
The Citadel;0;1938;tt0029995;NA;NA;NA;110;7,2;26;7;0;Drama
Four Daughters;0;1938;tt0030149;NA;NA;NA;90;7,1;26;13;0;Drama
Grand Illusion;0;1938;tt0164525;NA;NA;NA;46;6,8;NA;NA;0;Documentary
Jezebel;0;1938;tt0030287;1250000;NA;NA;104;7,6;87;39;1;Drama
Pygmalion;0;1938;tt0030637;350000;NA;NA;96;7,9;67;31;0;Comedy
Test Pilot;0;1938;tt0030848;NA;NA;NA;119;6,9;27;11;2;Drama
Gone with the Wind;1;1939;tt0031381;3977000;1192593;198655278;238;8,2;710;156;1;Drama
Dark Victory;0;1939;tt0031210;NA;NA;NA;104;7,6;77;47;1;Drama
Goodbye, Mr. Chips;0;1939;tt0031385;NA;NA;NA;114;7,8;84;35;0;Drama
Love Affair;0;1939;tt0031593;NA;NA;NA;88;7,4;47;24;0;Comedy
Mr. Smith Goes to Washington;0;1939;tt0031679;1500000;NA;9600000;129;8,2;250;99;0;Comedy
Ninotchka;0;1939;tt0031725;1365000;NA;1187000;110;8;86;60;0;Comedy
Of Mice and Men;0;1939;tt0031742;NA;NA;NA;106;7,8;58;11;0;Drama
