Film;Oscar;rok;Id;budget;opening_weekend;gross;czas;rating;komentarze;zewnetrzne_zapowiedzi;oscar_actor;gatunek
All the President's Men;0;1976;tt0074119;8500000;NA;70600000;138;8;212;116;0;Drama
Bound for Glory;0;1976;tt0074235;NA;NA;NA;147;7,4;47;35;0;Biography
Network;0;1976;tt0074958;3800000;NA;23689877;121;8,1;320;162;1;Drama
Taxi Driver;0;1976;tt0075314;1300000;NA;28262574;113;8,3;890;220;0;Crime
Annie Hall;1;1977;tt0075686;4000000;NA;39200000;93;8,1;499;155;0;Comedy
The Goodbye Girl;0;1977;tt0076095;NA;NA;102000000;111;7,4;79;30;0;Comedy
Julia;0;1977;tt0076245;7840000;NA;20714400;117;7,4;44;36;2;Drama
Star Wars;0;1977;tt0076759;11000000;35906661;460935665;121;8,7;1488;288;0;Action
The Turning Point;0;1977;tt0076843;NA;NA;33600000;119;7;28;17;1;Drama
The Deer Hunter;1;1978;tt0077416;15000000;NA;48979328;183;8,2;1045;140;0;Drama
Coming Home;0;1978;tt0077362;3000000;NA;32653905;127;7,3;72;41;1;Drama
Heaven Can Wait;0;1978;tt0077663;NA;4192799;4192799;101;6,9;95;33;1;Comedy
Midnight Express;0;1978;tt0077928;1800000;NA;35000000;121;7,7;248;64;0;Biography
An Unmarried Woman;0;1978;tt0078444;NA;NA;24000000;124;7,2;47;24;0;Comedy
Kramer vs. Kramer;1;1979;tt0079417;8000000;NA;106300000;105;7,8;178;76;0;Drama
All That Jazz;0;1979;tt0078754;NA;86229;86229;123;7,8;146;84;0;Comedy
Apocalypse Now;0;1979;tt0078788;31500000;96992;78800000;153;8,5;996;263;1;Drama
Breaking Away;0;1979;tt0078902;2300000;17702;314658;101;7,7;99;61;0;Comedy
Norma Rae;0;1979;tt0079638;NA;NA;22228000;114;7,4;47;31;0;Drama
Ordinary People;1;1980;tt0081283;6000000;NA;54800000;124;7,8;284;62;0;Drama
Coal Miner's Daughter;0;1980;tt0080549;NA;3366443;79900000;124;7,5;85;45;0;Biography
The Elephant Man;0;1980;tt0080678;5000000;NA;26010864;124;8,2;360;116;1;Biography
Raging Bull;0;1980;tt0081398;18000000;13568;45250;129;8,3;499;151;0;Biography
Tess;0;1980;tt0109951;20000000;NA;27053498;96;6,2;42;18;0;Comedy
Chariots of Fire;1;1981;tt0082158;5500000;68907;58800000;125;7,2;215;91;0;Biography
Atlantic City;0;1981;tt1614571;NA;NA;NA;NA;NA;NA;NA;0;Musical
On Golden Pond;0;1981;tt0082846;NA;89213;119285432;109;7,7;108;36;2;Drama
Raiders of the Lost Ark;0;1981;tt0082971;18000000;1673731;242374454;115;8,5;779;236;0;Action
Reds;0;1981;tt0082979;35000000;2325029;31802166;195;7,5;129;53;1;Biography
Gandhi;1;1982;tt0083987;22000000;131153;52767889;191;8,1;262;93;1;Biography
E.T. the Extra-Terrestrial;0;1982;tt0083866;10500000;11911430;434949459;115;7,9;519;216;0;Family
Missing;0;1982;tt0084335;NA;NA;7431579;122;7,8;92;55;2;Drama
Tootsie;0;1982;tt0084805;22000000;5540470;177200000;116;7,4;196;92;1;Comedy
The Verdict;0;1982;tt0084855;16000000;NA;54000000;129;7,8;155;77;0;Drama
Terms of Endearment;1;1983;tt0086425;8000000;3498813;108423489;132;7,4;156;49;1;Comedy
The Big Chill;0;1983;tt0085244;NA;56968;56400000;105;7,2;179;59;0;Comedy
The Dresser;0;1983;tt0085461;NA;43132;5310748;118;7,7;35;20;0;Drama
The Right Stuff;0;1983;tt0086197;27000000;1601167;21500000;193;7,9;172;80;0;Adventure
Tender Mercies;0;1983;tt0086423;NA;46977;534934;92;7,5;68;33;0;Drama
Amadeus;1;1984;tt0086879;18000000;86764;51600000;160;8,3;560;134;0;Biography
The Killing Fields;0;1984;tt0087553;NA;32181;34600000;141;7,9;186;66;0;Drama
A Passage to India;0;1984;tt0087892;16000000;84580;26400000;164;7,4;92;52;0;Adventure
Places in the Heart;0;1984;tt0087921;NA;NA;34700000;111;7,3;50;24;1;Drama
A Soldier's Story;0;1984;tt0088146;6000000;156383;22100000;101;7,2;46;25;0;Crime
Out of Africa;1;1985;tt0089755;31000000;3637290;87100000;161;7,2;200;64;1;Biography
The Color Purple;0;1985;tt0088939;15000000;1710333;94175854;154;7,8;200;68;0;Drama
Kiss of the Spider Woman;0;1985;tt0089424;NA;4701;4952880;120;7,4;56;55;0;Drama
Prizzi's Honor;0;1985;tt0089841;NA;NA;26700000;130;6,8;86;40;1;Comedy
Witness;0;1985;tt0090329;12000000;4539990;65500000;112;7,4;175;83;0;Crime
Platoon;1;1986;tt0091763;6000000;241080;137963328;120;8,1;514;121;0;Drama
Children of a Lesser God;0;1986;tt0090830;NA;1909084;31853080;119;7,2;61;33;1;Drama
Hannah and Her Sisters;0;1986;tt0091167;6400000;1265826;40084041;103;8;173;89;0;Comedy
The Mission;0;1986;tt0091530;24500000;40366;17218000;125;7,5;198;52;1;Adventure
A Room with a View;0;1986;tt0091867;3000000;42970;20966644;117;7,4;95;56;1;Drama
The Last Emperor;1;1987;tt0093389;23000000;21105;43984230;163;7,8;135;73;0;Biography
Broadcast News;0;1987;tt0092699;20000000;197542;51249404;133;7,2;133;57;1;Comedy
Fatal Attraction;0;1987;tt0093010;14000000;7602740;156645693;119;6,9;205;94;0;Drama
Hope and Glory;0;1987;tt0093209;NA;25497;10021120;113;7,4;71;21;0;Comedy
Moonstruck;0;1987;tt0093565;15000000;127599;80640528;102;7,1;142;65;0;Comedy
Rain Man;1;1988;tt0095953;25000000;7005719;172825435;133;8;334;98;1;Drama
The Accidental Tourist;0;1988;tt0094606;NA;97578;32632093;121;6,8;98;34;1;Drama
Dangerous Liaisons;0;1988;tt0094947;14000000;NA;34700000;119;7,7;146;51;0;Drama
Mississippi Burning;0;1988;tt0095647;15000000;225034;34603943;128;7,8;177;53;1;Crime
Working Girl;0;1988;tt0096463;28000000;NA;64000000;113;6,7;124;46;0;Comedy
Driving Miss Daisy;1;1989;tt0097239;7500000;73745;106593296;99;7,4;134;62;0;Drama
Born on the Fourth of July;0;1989;tt0096969;14000000;172021;70001698;145;7,2;175;69;0;Biography
Dead Poets Society;0;1989;tt0097165;16400000;340456;95860116;128;8;496;95;0;Comedy
Field of Dreams;0;1989;tt0097351;NA;531346;64431625;107;7,5;321;81;0;Drama
My Left Foot;0;1989;tt0097937;600000;NA;14743391;103;7,9;76;51;0;Biography
Dances with Wolves;1;1990;tt0099348;22000000;598257;184208848;181;8;389;90;0;Adventure
Awakenings;0;1990;tt0099077;NA;417076;52096475;121;7,8;174;37;1;Biography
Ghost;0;1990;tt0099653;22000000;12191540;217631306;127;7;256;78;0;Drama
The Godfather Part III;0;1990;tt0099674;54000000;19558558;66676062;162;7,6;550;108;1;Crime
Goodfellas;0;1990;tt0099685;25000000;6368901;46836394;146;8,7;1004;192;1;Biography
The Silence of the Lambs;1;1991;tt0102926;19000000;13766814;130727000;118;8,6;934;181;1;Crime
Beauty and the Beast;0;1991;tt0101414;25000000;44797;218967620;84;8;349;182;0;Animation
Bugsy;0;1991;tt0101516;30000000;140358;49114016;136;6,8;68;52;0;Biography
JFK;0;1991;tt0102138;40000000;5223658;70405498;189;8;449;125;1;Drama
The Prince of Tides;0;1991;tt0102713;30000000;NA;74787599;132;6,6;109;32;1;Drama
Unforgiven;1;1992;tt0105695;14400000;15018007;101157447;131;8,3;501;130;1;Drama
The Crying Game;0;1992;tt0104036;2300000;NA;62549000;112;7,3;150;65;0;Crime
A Few Good Men;0;1992;tt0104257;40000000;NA;141340178;138;7,6;323;78;1;Drama
Howards End;0;1992;tt0104454;NA;23840;25967000;140;7,5;86;53;2;Drama
Scent of a Woman;0;1992;tt0105323;31000000;357468;63895607;156;8;322;52;0;Drama
Schindler's List;1;1993;tt0108052;22000000;1234591;96067179;195;8,9;1299;174;1;Biography
The Fugitive;0;1993;tt0106977;44000000;8123499;183875760;130;7,8;273;116;0;Action
In the Name of the Father;0;1993;tt0107207;13000000;NA;25010410;133;8,1;161;45;1;Biography
The Piano;0;1993;tt0107822;7000000;2301338;40158000;121;7,6;242;83;0;Drama
The Remains of the Day;0;1993;tt0107943;15000000;1500000;22954968;134;7,9;157;58;2;Drama
Forrest Gump;1;1994;tt0109830;55000000;11302303;329691196;142;8,8;1443;149;1;Comedy
Four Weddings and a Funeral;0;1994;tt0109831;4400000;NA;52700832;117;7,1;199;82;0;Comedy
Pulp Fiction;0;1994;tt0110912;8000000;4243233;107930000;154;8,9;2244;214;0;Crime
Quiz Show;0;1994;tt0110932;31000000;757714;24822619;133;7,5;163;61;0;Drama
The Shawshank Redemption;0;1994;tt0111161;25000000;727327;28341469;142;9,3;4313;197;0;Crime
Braveheart;1;1995;tt0112573;72000000;9938276;75600000;178;8,4;1079;130;0;Biography
Apollo 13;0;1995;tt0112384;52000000;200645;172071312;140;7,6;299;157;1;Adventure
Babe;0;1995;tt0112431;30000000;1300243;66600000;91;6,8;184;78;0;Comedy
Il Postino: The Postman;0;1995;tt0110877;3000000;234643;21840154;108;7,8;107;35;0;Biography
Sense and Sensibility;0;1995;tt0114388;16000000;5043343;42700000;136;7,7;197;67;1;Drama
The English Patient;1;1996;tt0116209;27000000;278439;78651430;162;7,4;459;114;0;Drama
Fargo;0;1996;tt0116282;7000000;137301;25882374;98;8,1;829;202;0;Crime
Jerry Maguire;0;1996;tt0116695;50000000;17084296;153620822;139;7,3;320;106;0;Comedy
Secrets & Lies;0;1996;tt0117589;4500000;60813;13417292;136;8;129;66;0;Drama
Shine;0;1996;tt0117631;5500000;162179;35811509;105;7,7;104;71;0;Biography
Titanic;1;1997;tt0120338;200000000;28638131;658672302;194;7,7;2542;314;0;Drama
As Good as It Gets;0;1997;tt0119822;50000000;12606928;147637474;139;7,7;476;155;1;Comedy
The Full Monty;0;1997;tt0119164;3500000;244375;45857453;91;7,2;176;122;0;Comedy
Good Will Hunting;0;1997;tt0119217;10000000;272912;138339411;126;8,3;695;159;0;Drama
L.A. Confidential;0;1997;tt0119488;35000000;5211198;64604977;138;8,3;630;179;0;Crime
Shakespeare in Love;1;1998;tt0138097;25000000;224012;100241322;123;7,2;755;115;1;Comedy
Elizabeth;0;1998;tt0127536;30000000;166174;30012990;124;7,5;412;139;1;Biography
Life Is Beautiful;0;1998;tt0118799;20000000;118920;57598247;116;8,6;1065;151;0;Comedy
Saving Private Ryan;0;1998;tt0120815;70000000;30576104;216119491;169;8,6;2300;217;1;Drama
The Thin Red Line;0;1998;tt0120863;52000000;223548;36385763;170;7,6;1450;155;0;Drama
American Beauty;1;1999;tt0169547;15000000;861531;130058047;122;8,4;2729;177;0;Drama
The Cider House Rules;0;1999;tt0124315;24000000;110098;57536361;126;7,4;442;142;1;Drama
The Green Mile;0;1999;tt0120689;60000000;18017152;136801374;189;8,5;1389;183;1;Crime
The Insider;0;1999;tt0140352;90000000;6712361;28965197;157;7,9;524;207;1;Biography
The Sixth Sense;0;1999;tt0167404;40000000;26681262;293501675;107;8,1;2084;234;0;Drama
Gladiator;1;2000;tt0172495;103000000;34819017;187670866;155;8,5;2380;264;0;Action
Chocolat;0;2000;tt0241303;25000000;157624;71309760;121;7,3;500;152;2;Drama
Crouching Tiger, Hidden Dragon;0;2000;tt0190332;17000000;663205;128067808;120;7,9;1645;288;0;Action
Erin Brockovich;0;2000;tt0195685;52000000;28138465;125548685;131;7,3;499;166;0;Biography
Traffic;0;2000;tt0181865;48000000;15517549;124107476;147;7,6;869;220;1;Crime
A Beautiful Mind;1;2001;tt0268978;58000000;2501096;170708996;135;8,2;1181;204;1;Biography
Gosford Park;0;2001;tt0280707;19800000;1567041;41300105;131;7,3;653;186;1;Comedy
In the Bedroom;0;2001;tt0247425;1700000;93972;35918429;130;7,5;510;178;1;Crime
The Lord of the Rings: The Fellowship of the Ring;0;2001;tt0120737;93000000;11058045;313837577;178;8,8;5077;296;0;Adventure
Moulin Rouge!;0;2001;tt0203009;50000000;167540;57386369;127;7,6;2322;208;0;Drama
Chicago;1;2002;tt0299658;45000000;113386;170684505;113;7,2;1017;221;0;Comedy
Gangs of New York;0;2002;tt0217505;100000000;1049746;77679638;167;7,5;1181;232;1;Crime
The Hours;0;2002;tt0274558;25000000;338622;41597830;114;7,6;660;173;1;Drama
The Lord of the Rings: The Two Towers;0;2002;tt0167261;94000000;13063560;340478898;179;8,7;2424;292;0;Adventure
The Pianist;0;2002;tt0253474;35000000;1949422;32519322;150;8,5;770;192;0;Biography
The Lord of the Rings: The Return of the King;1;2003;tt0167260;94000000;15021761;377019252;201;8,9;3211;325;0;Adventure
Lost in Translation;0;2003;tt0335266;4000000;925087;44566004;101;7,8;1856;263;0;Drama
Master and Commander: The Far Side of the World;0;2003;tt0311113;150000000;25105990;93926386;138;7,4;685;242;1;Action
Mystic River;0;2003;tt0327056;25000000;640815;90135191;138;8;938;229;0;Crime
Seabiscuit;0;2003;tt0329575;87000000;20854735;120147445;140;7,3;456;174;0;Drama
Million Dollar Baby;1;2004;tt0405159;30000000;179953;100422786;132;8,1;1112;267;1;Drama
The Aviator;0;2004;tt0338751;110000000;858021;102608827;170;7,5;803;266;0;Biography
Finding Neverland;0;2004;tt0308644;25000000;776124;51676606;106;7,8;633;225;1;Biography
Ray;0;2004;tt0350258;40000000;20039730;75305995;152;7,7;434;207;0;Biography
Sideways;0;2004;tt0375063;12000000;207042;71502303;126;7,5;840;283;0;Comedy
Crash;1;2005;tt0375679;6500000;9107071;54557348;112;7,8;1627;284;0;Crime
Brokeback Mountain;0;2005;tt0388795;14000000;547425;83025853;134;7,7;2258;354;0;Drama
Capote;0;2005;tt0379725;7000000;324857;28747570;114;7,4;416;271;0;Biography
Good Night, and Good Luck;0;2005;tt0433383;7500000;421446;31501218;93;7,5;530;351;0;Biography
Munich;0;2005;tt0408306;70000000;6040860;47379090;164;7,6;827;297;0;Drama
The Departed;1;2006;tt0407887;90000000;2298313;132373442;151;8,5;2070;353;1;Crime
Babel;0;2006;tt0449467;25000000;389351;34300771;143;7,5;915;251;0;Drama
Letters from Iwo Jima;0;2006;tt0498380;19000000;122548;13753931;141;7,9;320;248;0;Drama
Little Miss Sunshine;0;2006;tt0449059;8000000;370782;59889948;101;7,8;891;239;0;Comedy
The Queen;0;2006;tt0436697;9800000;856273;56437947;103;7,3;426;278;0;Biography
No Country for Old Men;1;2007;tt0477348;25000000;1226333;74273505;122;8,1;1538;488;1;Crime
Atonement;0;2007;tt0783233;30000000;1634065;50921738;123;7,8;584;316;0;Drama
Juno;0;2007;tt0467406;7500000;413869;143492840;96;7,5;882;386;0;Comedy
Michael Clayton;0;2007;tt0465538;25000000;601196;49024969;119;7,3;366;297;1;Crime
There Will Be Blood;0;2007;tt0469494;25000000;302845;40218903;158;8,1;1121;402;1;Drama
Slumdog Millionaire;1;2008;tt1010048;15000000;360018;141319195;120;8;1024;419;0;Drama
The Curious Case of Benjamin Button;0;2008;tt0421715;150000000;26853816;127490802;166;7,8;827;364;1;Drama
Frost/Nixon;0;2008;tt0870111;25000000;180708;18593156;122;7,7;248;302;0;Biography
Milk;0;2008;tt1013753;20000000;1453844;31838002;128;7,6;286;324;1;Biography
The Reader;0;2008;tt0976051;32000000;168051;34180954;124;7,6;373;297;0;Drama
The Hurt Locker;1;2009;tt0887912;15000000;145352;15700000;131;7,6;877;389;0;Drama
Avatar;0;2009;tt0499549;237000000;8509050;760505847;162;7,9;3061;720;0;Action
The Blind Side;0;2009;tt0878804;29000000;34119372;255950375;129;7,7;427;261;0;Biography
District 9;0;2009;tt1136608;30000000;37354308;115646235;112;8;1267;475;0;Action
An Education;0;2009;tt1174732;4500000;159017;12574715;100;7,3;240;278;0;Drama
Inglourious Basterds;0;2009;tt0361748;75000000;3596415;120523073;153;8,3;1542;491;0;Adventure
"Precious: Based on the Novel ""Push"" by Sapphire";0;2009;tt0929632;10000000;1872458;47536959;110;7,3;276;321;0;Drama
A Serious Man;0;2009;tt1019452;7000000;251337;9190525;106;7;329;343;0;Comedy
Up;0;2009;tt1049413;175000000;68108790;292979556;96;8,3;711;410;0;Animation
Up in the Air;0;2009;tt1193138;25000000;1181450;83813460;109;7,4;455;395;1;Drama
The King's Speech;1;2010;tt1504320;15000000;355450;138795342;118;8;641;478;1;Biography
127 Hours;0;2010;tt1542344;18000000;264851;18329466;94;7,6;446;449;0;Adventure
Black Swan;0;2010;tt0947798;13000000;1443809;106952327;108;8;1143;667;0;Drama
The Fighter;0;2010;tt0964517;25000000;300010;93571803;116;7,9;391;411;0;Biography
Inception;0;2010;tt1375666;160000000;5912814;292568851;148;8,8;2843;647;0;Action
The Kids Are All Right;0;2010;tt0842926;3500000;491971;20803237;106;7,1;293;322;0;Comedy
The Social Network;0;2010;tt1285016;40000000;22445653;96917897;120;7,7;699;557;0;Biography
Toy Story 3;0;2010;tt0435761;200000000;109000000;414984497;103;8,3;734;455;1;Animation
True Grit;0;2010;tt1403865;38000000;24850000;171031347;110;7,7;728;493;1;Adventure
Winter's Bone;0;2010;tt1399683;2000000;84887;6531491;100;7,2;302;366;0;Drama
The Artist;1;2011;tt1655442;15000000;204878;44667095;100;8;585;578;0;Comedy
The Descendants;0;2011;tt1033575;20000000;7345720;82624961;115;7,3;441;549;1;Comedy
Extremely Loud and Incredibly Close;0;2011;tt0477302;40000000;110775;31836745;129;6,9;344;283;2;Adventure
The Help;0;2011;tt1454029;25000000;26044590;169705587;146;8,1;467;374;0;Drama
Hugo;0;2011;tt0970179;150000000;11364505;73820094;126;7,5;682;686;0;Adventure
Midnight in Paris;0;2011;tt1605783;17000000;599003;56816662;94;7,7;518;491;1;Comedy
Moneyball;0;2011;tt1210166;50000000;19501302;75605492;133;7,6;316;422;0;Biography
The Tree of Life;0;2011;tt0478304;32000000;372920;13303319;139;6,8;985;583;1;Drama
War Horse;0;2011;tt1568911;66000000;7512000;79883359;146;7,2;491;388;0;Drama
Argo;1;2012;tt1024648;44500000;19458109;136019448;120;7,7;700;655;0;Biography
Amour;0;2012;tt1602620;8900000;68266;225377;127;7,9;192;448;0;Drama
Beasts of the Southern Wild;0;2012;tt2125435;1800000;169702;12784397;93;7,3;273;664;0;Drama
Django Unchained;0;2012;tt1853728;100000000;30122888;162804648;165;8,4;1209;769;2;Drama
Les Misérables;0;2012;tt1707386;61000000;27281735;148775460;158;7,6;856;490;1;Drama
Life of Pi;0;2012;tt0454876;120000000;22451514;124976634;127;8;756;555;0;Adventure
Lincoln;0;2012;tt0443272;65000000;944308;182204440;150;7,4;728;540;2;Biography
Silver Linings Playbook;0;2012;tt1045658;21000000;443003;132088910;122;7,8;701;539;1;Comedy
Zero Dark Thirty;0;2012;tt1790885;40000000;417150;95720716;157;7,4;644;560;0;Drama
12 Years a Slave;1;2013;tt2024544;20000000;923715;56667870;134;8,1;709;601;0;Biography
American Hustle;0;2013;tt1800241;40000000;740455;150117807;138;7,3;759;538;1;Crime
Captain Phillips;0;2013;tt1535109;55000000;25718314;107100855;134;7,8;533;495;1;Biography
Dallas Buyers Club;0;2013;tt0790636;5000000;260865;27296514;117;8;344;473;0;Biography
Gravity;0;2013;tt1454468;100000000;55785112;274084951;91;7,8;1902;742;2;Adventure
Her;0;2013;tt1798709;23000000;260382;25556065;126;8;769;579;0;Drama
Nebraska;0;2013;tt1821549;12000000;140401;17613460;115;7,7;277;436;0;Adventure
Philomena;0;2013;tt2431286;12000000;128435;37707719;98;7,6;236;355;1;Biography
The Wolf of Wall Street;0;2013;tt0993846;100000000;18510000;116866727;180;8,2;1160;610;0;Biography
Birdman or (The Unexpected Virtue of Ignorance);1;2014;tt2562232;18000000;424397;42335698;119;7,8;1119;593;0;Comedy
American Sniper;0;2014;tt2179136;58800000;676909;350123553;133;7,3;923;492;0;Action
Boyhood;0;2014;tt1065073;4000000;387618;25359200;165;7,9;851;556;0;Drama
The Grand Budapest Hotel;0;2014;tt2278388;25000000;811166;59073773;99;8,1;655;541;1;Adventure
The Imitation Game;0;2014;tt2084970;14000000;479352;91121452;114;8,1;627;455;0;Biography
Selma;0;2014;tt1020072;20000000;633173;52066000;128;7,5;214;367;0;Biography
The Theory of Everything;0;2014;tt2980516;15000000;208763;35887263;123;7,7;400;422;0;Biography
Whiplash;0;2014;tt2582802;3300000;135388;13092000;107;8,5;766;538;0;Drama
Spotlight;1;2015;tt1895587;20000000;295009;44988180;128;8,1;442;483;0;Biography
The Big Short;0;2015;tt1596363;28000000;705527;70235322;130;7,8;398;435;1;Biography
Bridge of Spies;0;2015;tt3682448;40000000;15371203;72306065;142;7,6;385;468;1;Drama
Brooklyn;0;2015;tt2381111;11000000;187281;38317535;117;7,5;239;363;0;Drama
Mad Max: Fury Road;0;2015;tt1392190;150000000;44440000;153629485;120;8,1;1621;752;1;Action
The Martian;0;2015;tt3659388;108000000;54308575;228430993;144;8;1063;582;0;Adventure
The Revenant;0;2015;tt1663202;135000000;474560;183635922;156;8;1245;576;0;Adventure
Room;0;2015;tt3170832;13000000;118298;14677654;118;8,2;383;441;0;Drama
